run,epochs,loss_training,loss_validation
0,300,"[1.05618773 0.95629806 0.8701839  0.77173335 0.73807089 0.65634837
 0.61221227 0.54184913 0.502115   0.46090193 0.40284468 0.36835763
 0.34747313 0.32607118 0.2926515  0.2848144  0.25520762 0.21792556
 0.21268658 0.19914874 0.19426254 0.16278476 0.16817491 0.17323862
 0.1511116  0.13678472 0.10571361 0.1184132  0.10359719 0.09592918
 0.09361055 0.10746762 0.07995281 0.07875408 0.08185587 0.08666271
 0.06779328 0.08406444 0.0874824  0.07271345 0.07178573 0.07837721
 0.06510825 0.06959151 0.05992708 0.06453961 0.04220221 0.05617656
 0.04975194 0.06808301 0.03707812 0.04596714 0.07107843 0.05413271
 0.06407391 0.06713909 0.05113256 0.04757655 0.05117685 0.05831719
 0.03918494 0.04178399 0.04228836 0.05080428 0.06281986 0.06353983
 0.05813945 0.04746176 0.05674742 0.04366093 0.05549371 0.06673028
 0.059955   0.05420495 0.06489124 0.04435411 0.04557358 0.05811694
 0.04335774 0.04724563 0.0636845  0.05362548 0.06656915 0.03120889
 0.06122891 0.04179402 0.05766109 0.0572228  0.05928958 0.03356801
 0.03594198 0.03780009 0.04734824 0.04255484 0.04077077 0.04577459
 0.04769092 0.05945828 0.03867494 0.03935211 0.0426704  0.05697984
 0.04102755 0.04618877 0.05320682 0.03955841 0.0490867  0.04834576
 0.05338383 0.03886813 0.0338582  0.02143448 0.05204404 0.05034348
 0.06529035 0.06698059 0.0450636  0.04732893 0.05654668 0.05000381
 0.02071868 0.05744318 0.0441871  0.05004925 0.05416456 0.03482325
 0.05364923 0.04178844 0.04937225 0.05622954 0.05011131 0.03394755
 0.04724899 0.05100858 0.05766261 0.03813372 0.04525376 0.05842483
 0.04889828 0.01679143 0.04052975 0.05407541 0.0552467  0.06497924
 0.05425683 0.03431419 0.04417769 0.05628619 0.05826385 0.07077375
 0.06162521 0.06074985 0.04123154 0.0487434  0.04546007 0.04436563
 0.03052679 0.04543832 0.06696988 0.03978571 0.04341475 0.03623418
 0.05281979 0.06042017 0.07575602 0.06141026 0.04696138 0.06288631
 0.04420554 0.05392838 0.04975717 0.04964601 0.04655357 0.04585808
 0.05566522 0.06806638 0.03517549 0.04610741 0.04636561 0.03193955
 0.0329557  0.07231365 0.05392011 0.05473084 0.04733419 0.0376413
 0.05749892 0.04710256 0.05867879 0.04587053 0.04018035 0.04877209
 0.04076088 0.06603383 0.04371054 0.04283689 0.05630208 0.05836633
 0.06414966 0.03486951 0.05037541 0.02943016 0.06086896 0.04859106
 0.04881264 0.04852787 0.056748   0.05751367 0.04872585 0.04293546
 0.04828192 0.04529122 0.05171292 0.04878564 0.04654538 0.07044439
 0.05050772 0.05187662 0.04635487 0.04787739 0.05213071 0.06616611
 0.04643249 0.04684838 0.04170597 0.0606138  0.04987932 0.03926525
 0.02797627 0.06284144 0.05098078 0.05379449 0.03958441 0.05959261
 0.05847754 0.04593157 0.08400971 0.05010662 0.04354027 0.05812705
 0.04476254 0.05933637 0.03794075 0.06073363 0.05904863 0.05532013
 0.03347536 0.05468688 0.05339407 0.07454257 0.04864856 0.0398995
 0.04935629 0.04685409 0.04475947 0.04855279 0.06176018 0.05854182
 0.04502005 0.0485388  0.05850022 0.04812526 0.04053263 0.0385219
 0.05023588 0.0458099  0.04904814 0.03714108 0.04910821 0.03927943
 0.0634835  0.03783367 0.05630853 0.04433678 0.06127765 0.05568114
 0.05131447 0.05471085 0.06318755 0.04910584 0.04357451 0.06605215
 0.04691924 0.04746201 0.03808058 0.0303112  0.037939   0.05629261
 0.05347461 0.03556299 0.04225359 0.04818535 0.06366765 0.05029692
 0.02706816 0.05932122 0.04754464 0.02798653 0.05793555 0.02835001]","[1.09178057 1.03294709 0.92769925 0.87509976 0.78981916 0.72255964
 0.59169678 0.58082864 0.56817882 0.48004418 0.46678074 0.39267683
 0.38291917 0.32389681 0.31921431 0.29372647 0.31965506 0.31172811
 0.24631818 0.20913089 0.25356515 0.18143715 0.23085741 0.14147951
 0.21205073 0.13363351 0.18501122 0.15357728 0.16589111 0.18299873
 0.14235149 0.15676569 0.13275378 0.13415901 0.13936695 0.11681049
 0.12152146 0.10370782 0.0733207  0.16923262 0.13050234 0.06203214
 0.09359357 0.11209969 0.09921665 0.0901009  0.06585923 0.12319264
 0.15076416 0.09015894 0.14377423 0.11451494 0.14516351 0.10633979
 0.11610943 0.14379093 0.06784434 0.08680644 0.11735554 0.08143836
 0.08867007 0.09095869 0.07292811 0.06781089 0.09661267 0.06507368
 0.02939003 0.12713013 0.11154224 0.12502497 0.12337795 0.11230299
 0.10933649 0.05898726 0.105958   0.10095498 0.11502502 0.11292918
 0.05966732 0.14513168 0.13516899 0.10728505 0.02235157 0.10800506
 0.12616628 0.08399657 0.09830618 0.07073117 0.13108759 0.13053763
 0.14972572 0.12366893 0.09879739 0.11803612 0.15031166 0.13093566
 0.07194195 0.11142403 0.14920388 0.11773932 0.10091784 0.08465194
 0.10746118 0.10636184 0.12486125 0.12115638 0.15611449 0.10940738
 0.07081378 0.14067377 0.06126014 0.13273851 0.12794693 0.07921131
 0.08513369 0.09340009 0.09061888 0.09160886 0.1086569  0.09735354
 0.07908977 0.0723731  0.11694297 0.11961907 0.12729606 0.06738813
 0.13983215 0.08700723 0.09998637 0.09706546 0.11081857 0.04914969
 0.11078607 0.12066985 0.06821662 0.09375914 0.06755768 0.10137792
 0.10933167 0.13164644 0.0566694  0.08460613 0.09283825 0.05595161
 0.0654361  0.14460855 0.10476796 0.02493128 0.09305781 0.12345628
 0.07384547 0.08254045 0.14043461 0.10286458 0.09964971 0.00621601
 0.13318454 0.08541788 0.083366   0.09266466 0.13213565 0.08489271
 0.14346284 0.05484421 0.05432977 0.11433047 0.08968055 0.11759089
 0.08584528 0.09458061 0.12455475 0.12567403 0.08091951 0.14014916
 0.11167502 0.08137696 0.09884738 0.07123833 0.12421237 0.07346757
 0.11978161 0.11866423 0.12710043 0.10371291 0.05656719 0.11558405
 0.09980778 0.07513946 0.11606678 0.07068915 0.08056625 0.06113848
 0.13050138 0.10066429 0.10910122 0.13084622 0.10001196 0.09432655
 0.11724768 0.02569765 0.04460232 0.13396149 0.0752718  0.0958212
 0.10207523 0.04927227 0.13177392 0.06463281 0.1189994  0.11591429
 0.07289829 0.07898961 0.07131868 0.09715454 0.10394222 0.08634514
 0.08315605 0.13786565 0.07960418 0.11153047 0.13090122 0.10318922
 0.10206248 0.06311418 0.1186675  0.0432701  0.09139292 0.06973775
 0.03538622 0.08887706 0.10584343 0.0432835  0.14125194 0.13124625
 0.11696875 0.07194633 0.14788268 0.13482897 0.05635228 0.10522589
 0.13742885 0.14524364 0.08072528 0.13638485 0.09489933 0.13212648
 0.15818694 0.10883635 0.15319246 0.05973092 0.12557855 0.06933887
 0.17219794 0.08301634 0.05077273 0.08460887 0.1353461  0.09480316
 0.03750225 0.09931727 0.10616244 0.1030098  0.04139177 0.06684996
 0.10429285 0.08671245 0.08176282 0.0651616  0.05636121 0.07913192
 0.14083701 0.15099639 0.10722919 0.15345098 0.12681528 0.07903097
 0.08843761 0.149562   0.09784263 0.1134362  0.09489544 0.10794292
 0.12372955 0.0821538  0.08106334 0.07724252 0.1257263  0.11002678
 0.05974643 0.11348267 0.07929763 0.07503565 0.10410096 0.0960069
 0.07138943 0.09638693 0.12889218 0.09186068 0.14791845 0.10125801]"
1,300,"[1.04942674 1.03177978 1.02420289 1.01354323 1.01988054 1.00120756
 0.99152135 0.96511158 0.96979246 0.95777274 0.96965249 0.94494523
 0.94225766 0.93470058 0.92084257 0.90585812 0.89984073 0.89126515
 0.90323178 0.87587591 0.87635078 0.85541912 0.84407669 0.85178394
 0.84713569 0.83685466 0.83884221 0.81583927 0.81405669 0.81299272
 0.79683012 0.79212662 0.79143929 0.78505259 0.77366675 0.74199746
 0.74442995 0.72718932 0.73617722 0.71899149 0.71363664 0.72059646
 0.70905879 0.69681408 0.69185356 0.6900842  0.67747979 0.66866998
 0.67621607 0.66566524 0.6616197  0.63522208 0.6381229  0.6412614
 0.63661819 0.61001839 0.6236466  0.62208644 0.6088449  0.60562354
 0.60045791 0.59561829 0.60950159 0.57873245 0.58390278 0.57328909
 0.56507473 0.57248057 0.56330298 0.54943241 0.5420298  0.53443559
 0.5229485  0.52589641 0.53677003 0.52251349 0.51677823 0.50640255
 0.5106813  0.505942   0.48159679 0.48606711 0.48709524 0.46908845
 0.46574988 0.47858125 0.46253089 0.45537987 0.48005333 0.4614255
 0.45054473 0.45277839 0.45577843 0.44158856 0.42076286 0.4289286
 0.42016098 0.43063397 0.43310203 0.42444132 0.41289933 0.4062902
 0.39140154 0.40569462 0.41797512 0.40062479 0.39907331 0.40949609
 0.38044235 0.37997734 0.36942753 0.37283236 0.37651421 0.37517202
 0.37274349 0.35553763 0.3637767  0.35287702 0.34753421 0.35106253
 0.35946629 0.34859928 0.33093131 0.34915099 0.33837108 0.35174302
 0.34024527 0.33461671 0.31333169 0.31405302 0.31588223 0.32174245
 0.33213583 0.29860752 0.31688915 0.30945229 0.30398466 0.31588434
 0.27958974 0.29784137 0.28525149 0.28504141 0.31044324 0.29400842
 0.28704    0.29195306 0.27678494 0.28801527 0.27159716 0.24933993
 0.27923004 0.25725104 0.27370191 0.26834245 0.28072831 0.26324145
 0.27570136 0.26972258 0.26239033 0.24957484 0.2400257  0.24329631
 0.23163535 0.24961448 0.2334193  0.25186953 0.2238323  0.23428986
 0.22815567 0.22985716 0.22770491 0.24183592 0.20885875 0.2399043
 0.23352618 0.23311745 0.19720367 0.22993656 0.19843808 0.22363542
 0.21663808 0.22123479 0.22121596 0.19634604 0.21363743 0.20927409
 0.19390434 0.21199084 0.19520572 0.21004197 0.20771316 0.19400261
 0.19728804 0.20878324 0.18385835 0.20429775 0.19914195 0.16682281
 0.18792084 0.19730799 0.1772485  0.18818718 0.19173879 0.15122215
 0.18155907 0.19205417 0.17493317 0.1875748  0.15701553 0.18952093
 0.16959142 0.16750918 0.15326454 0.16842244 0.16510141 0.17689436
 0.16255632 0.16612402 0.15302302 0.15350207 0.15958872 0.16550223
 0.15983696 0.14265007 0.14998847 0.15571457 0.16265092 0.14315741
 0.13598064 0.1601742  0.14242429 0.15745083 0.15893001 0.15826568
 0.1458948  0.14922863 0.14025178 0.1416069  0.14405216 0.1287313
 0.15200105 0.15233196 0.14162274 0.15108807 0.16573216 0.15349446
 0.14201975 0.14066692 0.12613852 0.14835763 0.12532419 0.13467521
 0.1289739  0.1419537  0.12441401 0.13176131 0.13529632 0.12362093
 0.12942848 0.11780907 0.13746314 0.13172608 0.11663084 0.12878926
 0.12907047 0.13707259 0.11083315 0.13632452 0.11817494 0.12503604
 0.11130348 0.11864417 0.1037501  0.13708967 0.11793472 0.103796
 0.11162795 0.1172436  0.11733403 0.11286952 0.0989599  0.09601463
 0.08029258 0.10936479 0.09897479 0.10543716 0.09098833 0.12210886
 0.10917722 0.11137189 0.10687606 0.09514957 0.10779642 0.09410861
 0.09764827 0.12664254 0.09879479 0.104854   0.10524592 0.10887947]","[1.09254339 1.07707984 1.08160146 1.09217494 1.06577298 1.02528642
 0.98986747 1.06122521 1.02812925 0.97393097 0.97001429 0.93082056
 0.96710182 1.01659901 0.97564725 0.98326282 0.98034946 0.97731973
 0.94474711 0.93357001 0.90686642 0.9263308  0.86980081 0.87323035
 0.88380638 0.89699152 0.88355936 0.87818056 0.86348683 0.82667567
 0.78817439 0.84648834 0.84150481 0.81384378 0.80181095 0.75626237
 0.88909404 0.82783816 0.78090769 0.76502442 0.82188228 0.78627999
 0.78308828 0.79133496 0.74070941 0.78886044 0.69620398 0.73967179
 0.66116922 0.68899048 0.64633354 0.61427853 0.70005921 0.67796166
 0.66239001 0.66569041 0.70279895 0.6961104  0.68849261 0.56692412
 0.62508146 0.6689774  0.67732835 0.62715816 0.60496716 0.65634259
 0.61628271 0.60014502 0.60858104 0.60375254 0.56572772 0.58758267
 0.57736456 0.56271277 0.58054032 0.54359363 0.59155215 0.50994018
 0.55572961 0.52729163 0.51647998 0.55105665 0.55450686 0.51280902
 0.58956619 0.49874531 0.52017468 0.5229453  0.51661469 0.50918693
 0.44177377 0.53309272 0.48323286 0.501478   0.5220448  0.45995145
 0.49742356 0.41343749 0.48587277 0.49590882 0.46779423 0.45149031
 0.4555233  0.45629928 0.41675842 0.44837856 0.49987217 0.4203414
 0.42835281 0.41273496 0.44201645 0.4490883  0.50604218 0.42197089
 0.43038657 0.44292972 0.399888   0.39397691 0.39406828 0.36514092
 0.38890743 0.41289265 0.37337576 0.38625868 0.34337348 0.43220501
 0.29294932 0.36123095 0.35093465 0.39371035 0.40872127 0.301815
 0.39702445 0.32866683 0.33961199 0.35093705 0.39720525 0.32914696
 0.3797675  0.39142144 0.35489902 0.44507041 0.30370346 0.3283791
 0.29413827 0.32586907 0.30390152 0.35302258 0.33693199 0.33180196
 0.36165239 0.33992083 0.30566706 0.30291014 0.35824623 0.31929867
 0.35232883 0.27396481 0.26873025 0.3340218  0.30066203 0.28790475
 0.27729072 0.32121666 0.29425101 0.3248848  0.2485706  0.28124641
 0.30847698 0.30852713 0.26578399 0.31792158 0.24829381 0.29733309
 0.27130225 0.25170508 0.3036188  0.29585705 0.28703434 0.28511218
 0.27012584 0.30685874 0.23654881 0.27651533 0.29351298 0.22302378
 0.25302834 0.26853977 0.28746755 0.19273818 0.27006382 0.25632705
 0.24707986 0.30915532 0.23165512 0.19309386 0.24111126 0.2369936
 0.21977362 0.24621845 0.24744244 0.22968871 0.20602293 0.24650187
 0.21919817 0.21028208 0.19927571 0.30519448 0.22593454 0.22027756
 0.20028162 0.22947094 0.2071296  0.21419863 0.20202799 0.19680187
 0.19677821 0.24233587 0.18607596 0.19584647 0.19014793 0.18156172
 0.16478708 0.20586973 0.19632663 0.18523083 0.16406827 0.18488388
 0.19963133 0.19074917 0.21839529 0.17418697 0.13314953 0.16981133
 0.17997002 0.20181954 0.23224095 0.18748147 0.16325    0.1359719
 0.21330372 0.18845723 0.15471284 0.178022   0.19638061 0.2154279
 0.1455043  0.177894   0.17028447 0.20721466 0.15643392 0.16143596
 0.22846022 0.2087677  0.16403847 0.21129647 0.1703864  0.20088761
 0.18105685 0.17384213 0.21095452 0.22656079 0.16183142 0.19438426
 0.13098913 0.24570712 0.18383195 0.13362971 0.12075467 0.17015386
 0.16859927 0.15353615 0.1460688  0.17116141 0.1432101  0.1778297
 0.11976242 0.13393917 0.14727755 0.14448423 0.15328808 0.15240403
 0.11836424 0.19834019 0.10948092 0.12804745 0.13752305 0.15784384
 0.16353361 0.15587943 0.16095197 0.14533495 0.1229039  0.12612403
 0.15971987 0.14619409 0.15606211 0.17554722 0.21071566 0.17153725]"
2,300,"[1.05926955 0.96874201 0.88407529 0.79787064 0.72247722 0.66325129
 0.58285937 0.55819779 0.49954159 0.42952439 0.42045748 0.37997303
 0.34132717 0.32641717 0.29028525 0.27760362 0.26153386 0.23781087
 0.20264044 0.21225487 0.18310617 0.1732947  0.16124181 0.13375093
 0.13433871 0.1199497  0.13763777 0.10780644 0.11894175 0.10521898
 0.09605382 0.08859849 0.08879134 0.07926463 0.094454   0.08254536
 0.06199361 0.07567949 0.06479029 0.05936683 0.07423898 0.06993375
 0.08589122 0.06415654 0.0737802  0.0384081  0.0534606  0.05422398
 0.05107034 0.05677582 0.06513296 0.0588257  0.05295948 0.04501527
 0.07421243 0.05665906 0.05852124 0.05801294 0.03835339 0.06645442
 0.06089773 0.04365391 0.04274223 0.05574609 0.05622877 0.0489047
 0.02581762 0.04057549 0.04718065 0.05048163 0.04607705 0.05844742
 0.06409839 0.05582743 0.03954315 0.04341623 0.04586078 0.06182263
 0.05613636 0.05662517 0.0468837  0.04420368 0.05077535 0.04718361
 0.0572732  0.03435776 0.06649963 0.05464151 0.0544623  0.05706295
 0.04311901 0.06307171 0.02701547 0.03482306 0.04524811 0.05688696
 0.04982683 0.04116136 0.05173526 0.06547155 0.05301331 0.04327564
 0.05221059 0.06301561 0.05118147 0.03820135 0.06333418 0.06126379
 0.06654934 0.0555261  0.05317115 0.05299635 0.0582609  0.06402415
 0.03698766 0.04947271 0.04884862 0.04696229 0.0400192  0.04399394
 0.05695919 0.06801934 0.04068491 0.05672794 0.05398478 0.04000288
 0.06595355 0.05406533 0.06060177 0.06308708 0.04809655 0.0508748
 0.04292535 0.06284785 0.05623173 0.05160532 0.05409452 0.0405576
 0.04188915 0.04126288 0.05276066 0.05235677 0.04302738 0.05169209
 0.05287223 0.03743853 0.06567589 0.05416835 0.06393474 0.0553779
 0.04825718 0.0482441  0.04507773 0.05179055 0.03965672 0.04197682
 0.02688708 0.0414939  0.05314088 0.04301183 0.03725658 0.04741885
 0.05259342 0.05237616 0.06266968 0.03741264 0.05233052 0.03350978
 0.04624758 0.04689469 0.04925762 0.06322373 0.0513106  0.05148202
 0.06170603 0.06445639 0.04174848 0.04947285 0.03746423 0.06167046
 0.07880784 0.0350054  0.05681467 0.04674848 0.04471228 0.04586087
 0.04763919 0.0551851  0.05664369 0.05059383 0.06057369 0.0458513
 0.04650906 0.06355938 0.06399491 0.06303567 0.04092412 0.05706023
 0.04334303 0.0424199  0.03895794 0.05556133 0.04323341 0.03537808
 0.06217077 0.04916568 0.04354896 0.06666878 0.03228728 0.05506137
 0.04899619 0.05226837 0.04087435 0.03159297 0.05461283 0.04940113
 0.05320489 0.0516387  0.04210932 0.04565857 0.04346467 0.04466339
 0.07238682 0.04126227 0.04419104 0.0587585  0.04815505 0.05787208
 0.05570337 0.05070296 0.05355403 0.04353826 0.05292304 0.05312752
 0.04486089 0.04561306 0.05414218 0.06185593 0.06174116 0.04241698
 0.07439828 0.05000842 0.03824134 0.05479492 0.0474161  0.05104075
 0.04514575 0.03296235 0.07292353 0.04320379 0.03575268 0.04976551
 0.03954444 0.04393913 0.04247612 0.05219882 0.05136735 0.06130717
 0.03975653 0.04332296 0.05488342 0.07266068 0.04870836 0.04557975
 0.04763131 0.06213899 0.04342954 0.04383451 0.05310934 0.04338764
 0.05053668 0.05095496 0.05380309 0.04549031 0.04486331 0.05255254
 0.04315051 0.06100547 0.05347738 0.04578615 0.04373109 0.04246727
 0.0471034  0.04672354 0.04937022 0.03675914 0.04977249 0.04909136
 0.04878447 0.0473927  0.05425069 0.049713   0.04882628 0.05627139
 0.05230051 0.0576502  0.03650269 0.04562023 0.05645441 0.06207726]","[1.15788924 1.06907455 0.93013795 0.85674427 0.76160246 0.67787517
 0.63196274 0.59073015 0.5245568  0.50207482 0.52961262 0.35433536
 0.38435681 0.34285222 0.38766852 0.35820933 0.3357858  0.24208418
 0.23879821 0.26387637 0.22629476 0.23944421 0.26286865 0.24154575
 0.20050513 0.2400145  0.19682289 0.12792529 0.20181169 0.13942861
 0.18258587 0.1163351  0.15457571 0.15218837 0.20109949 0.15725727
 0.1736766  0.17848361 0.10965062 0.11802297 0.16152664 0.1819229
 0.12153104 0.12320748 0.13079417 0.14519818 0.15406817 0.1319446
 0.13364115 0.11036294 0.09341059 0.13361778 0.13759406 0.14085639
 0.12800041 0.19332618 0.14715161 0.17459952 0.17562648 0.11670912
 0.13515024 0.16941059 0.08212468 0.17881131 0.14361145 0.12026526
 0.19913088 0.13061186 0.13380127 0.21243033 0.1614332  0.21078361
 0.15668827 0.1964848  0.1707746  0.16322671 0.14830807 0.17299614
 0.13223452 0.1473586  0.14016223 0.17741943 0.15091983 0.16080678
 0.20292331 0.14960187 0.19771194 0.17327832 0.20880097 0.21697919
 0.12256544 0.19772776 0.17858512 0.19584443 0.20665334 0.1820039
 0.16738322 0.17761566 0.20018715 0.1620059  0.22321097 0.17362026
 0.17679713 0.18511771 0.13812073 0.17674367 0.18734992 0.13599055
 0.21930806 0.17100693 0.16168918 0.21169021 0.16839496 0.20634815
 0.16540665 0.20859392 0.17880813 0.1699014  0.21431895 0.18315931
 0.19051666 0.16881882 0.28615875 0.23067735 0.20666764 0.17344159
 0.24259206 0.20515753 0.22194471 0.25076273 0.22218433 0.22935792
 0.18481992 0.18399231 0.24247146 0.21462096 0.21004338 0.22287394
 0.24269213 0.2223872  0.23889153 0.18999495 0.25421288 0.23821603
 0.2280015  0.20415695 0.26271218 0.23954539 0.23405446 0.20329188
 0.15215586 0.19259733 0.24585984 0.19935371 0.24473894 0.29670123
 0.22106034 0.21851438 0.22489395 0.21961555 0.202677   0.31075698
 0.25605158 0.20744573 0.24403106 0.21960321 0.23740501 0.23885993
 0.22205704 0.24919513 0.18162469 0.25205191 0.28884275 0.24478113
 0.28386104 0.23711793 0.28282499 0.24846028 0.25094065 0.1773556
 0.20888048 0.26512895 0.2754904  0.27052297 0.22593863 0.2641168
 0.25527055 0.29385842 0.2186884  0.21834281 0.27328837 0.30450667
 0.32070588 0.24449795 0.29230103 0.26522404 0.27852897 0.24809277
 0.25116703 0.22634063 0.24141552 0.23550987 0.2278995  0.24481829
 0.29165102 0.28819757 0.28613787 0.26913492 0.2627107  0.30744805
 0.26932515 0.29183221 0.27970809 0.30009596 0.30813999 0.28046983
 0.28082088 0.25147091 0.24337254 0.26998692 0.29960067 0.20496699
 0.26193087 0.26971371 0.28830321 0.24924569 0.35677072 0.25412479
 0.26742314 0.24421609 0.28469668 0.28874895 0.21915101 0.27489342
 0.23648265 0.24018446 0.26059047 0.28104055 0.29371474 0.3028789
 0.31897545 0.21568376 0.31155236 0.33623983 0.34881697 0.33904695
 0.29024628 0.33180091 0.22858808 0.34401975 0.29939189 0.35382129
 0.28856446 0.31566315 0.3232116  0.38932765 0.27838049 0.27352557
 0.25742666 0.35286854 0.33426684 0.33584395 0.2706198  0.28319335
 0.32908886 0.28724358 0.33364111 0.3740384  0.30887054 0.31964366
 0.31890353 0.32257384 0.31810556 0.28908358 0.33635907 0.34013738
 0.34143924 0.32052257 0.33278973 0.32160347 0.3375801  0.29720202
 0.34157947 0.3444873  0.39629302 0.3663315  0.3386761  0.37801095
 0.33921078 0.28428691 0.35198997 0.33089491 0.23552806 0.3717527
 0.35105992 0.31055304 0.3395145  0.30089749 0.33100056 0.29628025]"
